ApplicationNumber,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,MonthlyLoanPayment,MonthlyIncome,JobTenure,LoanApproved
27219,29,"$30,834.00",530,Employed,High School,"$19,342.00",60 months,Married,0,Rent,0,Vehicle,0,$322.37,"$2,569.50",2,No
11310,29,"$27,005.00",507,Employed,High School,"$27,166.00",108 months,Single,3,Rent,0,Debt Consolidation,0,$251.54,,2,No
20471,29,"$15,000.00",582,,Bachelor,"$19,814.00",24 months,Single,0,Rent,0,Home Improvement,0,$825.58,"$1,250.00",0,No
18811,29,"$27,935.00",603,Self-Employed,Bachelor,"$20,340.00",72 months,Single,0,Mortgage,0,Vehicle,0,,"$2,327.92",8,No
15169,29,"$43,102.00",552,Employed,Master,"$27,306.00",24 months,Single,2,Rent,0,Vehicle,0,"$1,137.75","$3,591.83",4,No
14903,29,"$34,819.00",470,Employed,High School,"$121,126.00",60 months,Single,3,Own,0,Debt Consolidation,0,,"$2,901.58",6,No
13775,29,"$50,050.00",556,Employed,Diploma,"$20,301.00",36 months,Widowed,0,Mortgage,0,Home Improvement,0,$563.92,"$4,170.83",5,Yes
28934,29,"$26,399.00",539,Employed,Doctorate,"$21,476.00",60 months,Divorced,1,Mortgage,0,Education,0,$357.93,"$2,199.92",3,No
18347,29,"$32,534.00",546,Employed,Bachelor,"$25,596.00",60 months,Single,0,Mortgage,0,Vehicle,0,$426.60,"$2,711.17",8,No
21753,29,"$65,342.00",525,Employed,Master,"$15,121.00",84 months,Divorced,1,Mortgage,0,Home Improvement,0,$180.01,"$5,445.17",4,Yes
12053,29,"$43,417.00",551,Employed,Bachelor,"$28,791.00",60 months,Married,0,Rent,0,Home Improvement,0,$479.85,"$3,618.08",3,No
18301,29,"$56,600.00",538,Employed,Diploma,"$32,665.00",48 months,Divorced,1,Mortgage,0,Vehicle,0,$680.52,"$4,716.67",5,No
28623,29,"$34,246.00",574,Employed,Diploma,"$19,372.00",36 months,Married,1,Mortgage,0,Home Improvement,0,,"$2,853.83",5,No
12453,29,"$15,000.00",565,Employed,High School,"$13,190.00",60 months,Divorced,0,Mortgage,0,Personal,0,,"$1,250.00",4,No
15020,29,"$15,307.00",568,Employed,Master,"$25,544.00",60 months,Married,0,Rent,0,Debt Consolidation,0,$425.73,,7,No
24913,29,"$46,435.00",475,,High School,"$23,735.00",72 months,Single,5,Other,0,Vehicle,1,$329.65,,9,No
27238,29,"$68,795.00",551,Employed,High School,"$21,383.00",120 months,Married,3,Mortgage,0,Home Improvement,1,$178.19,"$5,732.92",3,No
25499,29,"$18,989.00",531,Employed,High School,"$26,651.00",24 months,Married,4,Own,0,Vehicle,0,"$1,110.46","$1,582.42",3,No
22733,29,"$36,297.00",564,Employed,Bachelor,"$29,653.00",60 months,Single,3,Rent,0,Vehicle,0,$494.22,"$3,024.75",5,No
14452,29,"$15,000.00",558,Self-Employed,Diploma,"$37,048.00",24 months,Married,1,Rent,0,Education,0,"$1,543.67","$1,250.00",3,No
17313,29,"$285,567.00",566,Employed,Bachelor,"$12,697.00",120 months,Married,1,Mortgage,0,Debt Consolidation,0,$105.81,"$23,797.25",5,Yes
25240,29,"$23,578.00",520,Employed,Bachelor,"$24,282.00",60 months,Married,2,Mortgage,0,Vehicle,1,$404.70,,7,No
27982,29,"$60,280.00",511,,Master,"$23,622.00",12 months,Married,1,Mortgage,0,Vehicle,0,,"$5,023.33",5,No
16605,29,"$68,853.00",486,Employed,Master,"$17,457.00",24 months,Married,0,Other,0,Debt Consolidation,0,$727.38,"$5,737.75",9,Yes
15655,29,"$77,688.00",560,,Diploma,"$26,328.00",96 months,Single,1,Mortgage,0,Debt Consolidation,0,,"$6,474.00",5,No
22161,29,"$32,034.00",599,,Master,"$17,417.00",48 months,Married,3,Rent,0,Home Improvement,1,$362.85,"$2,669.50",5,No
13367,29,"$68,865.00",449,Employed,Diploma,"$21,282.00",48 months,Married,1,Mortgage,0,Home Improvement,0,$443.38,"$5,738.75",7,No
16671,29,"$44,608.00",603,Employed,High School,"$27,562.00",60 months,Single,3,Own,0,Education,0,,"$3,717.33",6,No
14204,29,"$71,094.00",550,Unemployed,Master,"$17,209.00",36 months,Divorced,1,Own,0,Vehicle,0,$478.03,"$5,924.50",6,No
15652,29,"$32,326.00",625,Employed,Master,"$16,273.00",60 months,Married,0,Mortgage,0,Home Improvement,0,$271.22,"$2,693.83",8,No
20633,29,"$47,083.00",581,Employed,Master,"$28,420.00",84 months,Single,0,Rent,0,Home Improvement,0,,"$3,923.58",5,No
23443,29,"$36,268.00",505,,Diploma,"$46,098.00",60 months,Single,0,Mortgage,0,Education,0,$768.30,"$3,022.33",4,No
26487,29,"$59,024.00",588,Employed,Bachelor,"$17,781.00",48 months,Divorced,5,Mortgage,0,Debt Consolidation,0,$370.44,"$4,918.67",7,No
17844,29,"$48,480.00",579,Employed,Bachelor,"$12,475.00",60 months,Married,0,Mortgage,0,Debt Consolidation,1,$207.92,"$4,040.00",5,No
18959,29,"$80,467.00",616,Employed,Bachelor,"$12,902.00",84 months,Widowed,2,Mortgage,0,Debt Consolidation,0,$153.60,"$6,705.58",7,Yes
14925,29,"$36,571.00",587,Employed,Bachelor,"$24,140.00",48 months,Married,3,Rent,0,Vehicle,0,$502.92,"$3,047.58",8,No
27968,29,"$44,833.00",525,Employed,Bachelor,"$22,128.00",72 months,Married,0,Rent,0,Debt Consolidation,0,$307.33,"$3,736.08",9,No
27711,29,"$24,961.00",621,Employed,Bachelor,"$23,923.00",60 months,Single,2,Mortgage,0,Home Improvement,0,$398.72,"$2,080.08",4,No
24809,29,"$41,965.00",582,Self-Employed,Master,"$19,439.00",84 months,Single,3,Mortgage,0,Debt Consolidation,0,,"$3,497.08",2,No
16654,29,"$39,239.00",595,Employed,Bachelor,"$78,496.00",24 months,Divorced,0,Rent,0,Home Improvement,0,"$3,270.67","$3,269.92",3,No
28747,29,"$108,556.00",556,Employed,Bachelor,"$22,856.00",48 months,Married,2,Own,0,Home Improvement,0,$476.17,"$9,046.33",0,No
13065,29,"$31,473.00",527,Employed,Bachelor,"$21,217.00",36 months,Married,0,Other,0,Home Improvement,0,,"$2,622.75",7,No
10689,29,"$37,709.00",557,Employed,High School,"$27,440.00",60 months,Married,1,Own,0,Debt Consolidation,1,$457.33,"$3,142.42",5,No
28428,29,"$21,809.00",533,Employed,High School,"$29,573.00",48 months,Single,0,Mortgage,0,Vehicle,1,$616.10,,2,No
11924,29,"$46,288.00",583,Unemployed,Bachelor,"$56,139.00",84 months,Divorced,0,Own,0,Home Improvement,0,$668.32,"$3,857.33",7,No
23957,29,"$57,571.00",583,Employed,High School,"$12,242.00",48 months,Widowed,1,Own,0,Home Improvement,0,$255.04,"$4,797.58",8,No
24570,29,"$30,115.00",466,Employed,Diploma,"$15,631.00",60 months,Married,1,Rent,0,Debt Consolidation,0,$260.52,"$2,509.58",2,No
14384,29,"$53,221.00",598,Employed,Diploma,"$39,634.00",60 months,Single,0,Rent,0,Debt Consolidation,0,$660.57,"$4,435.08",7,No
11008,29,"$19,018.00",563,,Bachelor,"$61,468.00",84 months,Widowed,2,Own,0,Vehicle,0,$731.76,"$1,584.83",7,No
17743,29,"$85,895.00",494,,Diploma,"$20,434.00",84 months,Married,0,Mortgage,0,Personal,1,$243.26,"$7,157.92",3,No
13433,29,"$39,755.00",509,,High School,"$34,681.00",24 months,Single,2,Rent,0,Home Improvement,0,"$1,445.04","$3,312.92",5,No
26883,29,"$18,525.00",609,Employed,Bachelor,"$21,763.00",48 months,Married,1,Own,0,Vehicle,0,$453.40,"$1,543.75",5,No
15383,29,"$71,611.00",569,Unemployed,Bachelor,"$31,194.00",60 months,Single,3,Own,0,Home Improvement,0,$519.90,"$5,967.58",6,No
13055,29,"$101,896.00",498,Employed,High School,"$33,595.00",36 months,Married,2,Rent,0,Home Improvement,0,$933.19,"$8,491.33",6,Yes
22945,29,"$41,051.00",614,Self-Employed,Master,"$91,757.00",36 months,Single,1,Own,0,Vehicle,0,"$2,548.81","$3,420.92",6,No
18175,29,"$44,051.00",591,Unemployed,Master,"$31,783.00",60 months,Married,5,Mortgage,0,Debt Consolidation,0,$529.72,"$3,670.92",6,No
17966,29,"$71,310.00",615,Self-Employed,Bachelor,"$17,963.00",48 months,Married,0,Rent,0,Home Improvement,0,$374.23,,7,No
10671,29,"$75,095.00",590,Employed,Diploma,"$11,657.00",120 months,Married,1,Rent,0,Vehicle,1,$97.14,,7,No
11030,29,"$95,344.00",527,Employed,Master,"$28,097.00",84 months,Married,3,Rent,0,Vehicle,0,$334.49,,4,No
21816,29,"$51,159.00",573,Employed,High School,"$25,342.00",48 months,Married,3,Rent,0,Education,0,$527.96,"$4,263.25",8,No
25359,29,"$31,228.00",637,Employed,Doctorate,"$15,123.00",48 months,Married,0,Own,0,Home Improvement,0,,"$2,602.33",4,No
18779,29,"$15,000.00",622,Unemployed,Diploma,"$40,081.00",48 months,Married,3,Rent,0,Home Improvement,0,,,9,No
28442,29,"$58,371.00",591,Employed,Bachelor,"$21,610.00",12 months,Single,0,Mortgage,0,Vehicle,1,"$1,800.83","$4,864.25",6,No
13595,29,"$61,994.00",626,Employed,High School,"$10,189.00",96 months,Single,2,Rent,0,Personal,0,$106.14,"$5,166.17",4,No
10682,29,"$51,989.00",517,Employed,Bachelor,"$26,850.00",72 months,Married,3,Mortgage,0,Vehicle,0,,"$4,332.42",6,No
28436,29,"$30,796.00",597,Employed,Bachelor,"$45,198.00",96 months,Married,2,Own,0,Home Improvement,0,$470.81,"$2,566.33",6,No
27028,29,"$38,874.00",445,Employed,High School,"$10,537.00",48 months,Married,0,Rent,0,Debt Consolidation,0,$219.52,"$3,239.50",9,No
13556,29,"$37,030.00",546,Employed,Diploma,"$14,544.00",36 months,Married,0,Mortgage,0,Debt Consolidation,0,$404.00,"$3,085.83",2,No
27378,29,"$47,119.00",552,Employed,High School,"$9,706.00",36 months,Single,4,Mortgage,0,Debt Consolidation,0,,"$3,926.58",4,No
21085,29,"$42,268.00",419,Employed,High School,"$11,557.00",60 months,Married,2,Other,0,Debt Consolidation,0,,,5,No
28404,29,"$25,720.00",609,Self-Employed,Master,"$20,781.00",24 months,Married,1,Own,0,Home Improvement,0,$865.88,"$2,143.33",4,No
17302,29,"$41,417.00",582,Employed,High School,"$18,571.00",36 months,Married,1,Mortgage,0,Education,0,$515.86,"$3,451.42",3,No
11014,29,"$19,553.00",559,,High School,"$22,294.00",36 months,Single,1,Mortgage,0,Debt Consolidation,0,$619.28,,6,No
14305,29,"$32,812.00",513,Employed,Bachelor,"$26,612.00",72 months,Single,2,Other,0,Education,0,$369.61,"$2,734.33",4,No
24536,29,"$27,764.00",545,,Diploma,"$54,727.00",60 months,Married,2,Own,0,Vehicle,0,$912.12,"$2,313.67",10,No
21260,29,"$43,904.00",592,,Diploma,"$20,825.00",48 months,Married,3,Mortgage,0,Personal,0,,"$3,658.67",5,No
19739,29,"$27,902.00",568,Employed,Master,"$52,674.00",84 months,Single,4,Mortgage,0,Vehicle,0,$627.07,"$2,325.17",7,No
17305,29,"$26,516.00",577,Employed,Bachelor,"$53,300.00",84 months,Married,0,Rent,0,Home Improvement,0,$634.52,"$2,209.67",7,No
20453,29,"$19,955.00",503,Employed,Bachelor,"$10,364.00",36 months,Married,3,Other,0,Home Improvement,0,$287.89,,4,No
27271,29,"$29,998.00",541,Employed,Bachelor,"$16,362.00",48 months,Married,2,Rent,0,Debt Consolidation,0,$340.88,,4,No
23041,29,"$36,023.00",535,Employed,Diploma,"$6,492.00",48 months,Married,2,Mortgage,0,Debt Consolidation,0,$135.25,"$3,001.92",4,Yes
16388,29,"$23,099.00",567,Self-Employed,Bachelor,"$30,812.00",12 months,Married,1,Own,0,Debt Consolidation,0,,"$1,924.92",7,No
13502,29,"$36,191.00",579,Employed,Bachelor,"$24,619.00",48 months,Married,3,Mortgage,0,Vehicle,0,$512.90,"$3,015.92",9,No
17659,29,"$67,056.00",506,Employed,Bachelor,"$24,597.00",72 months,Single,1,Other,0,Debt Consolidation,0,$341.63,,7,No
22831,29,"$26,293.00",480,Unemployed,High School,"$8,947.00",72 months,Married,2,Mortgage,0,Debt Consolidation,0,$124.26,"$2,191.08",5,No
21863,29,"$53,454.00",539,Employed,Diploma,"$21,456.00",24 months,Married,1,Rent,0,Debt Consolidation,0,$894.00,,2,No
28134,29,"$21,722.00",601,Employed,Bachelor,"$37,871.00",36 months,Married,3,Own,0,Home Improvement,0,"$1,051.97",,5,No
12132,29,"$56,115.00",593,Employed,Bachelor,"$24,026.00",36 months,Single,0,Own,0,Debt Consolidation,0,$667.39,"$4,676.25",5,No
27139,29,"$48,723.00",603,Self-Employed,Bachelor,"$24,538.00",24 months,Single,1,Mortgage,0,Debt Consolidation,0,"$1,022.42","$4,060.25",3,No
25170,29,"$15,251.00",591,Employed,Bachelor,"$37,791.00",12 months,Divorced,0,Mortgage,0,Debt Consolidation,0,"$3,149.25","$1,270.92",6,No
16416,29,"$56,412.00",527,Employed,Bachelor,"$23,381.00",36 months,Single,0,Own,0,Debt Consolidation,0,,"$4,701.00",5,No
20478,29,"$102,806.00",533,Employed,Master,"$12,096.00",120 months,Single,2,Other,0,Personal,0,$100.80,"$8,567.17",5,No
18895,29,"$44,735.00",592,Employed,High School,"$12,232.00",48 months,Married,2,Rent,0,Home Improvement,0,$254.83,"$3,727.92",3,No
29551,29,"$93,716.00",639,Employed,Doctorate,"$16,809.00",48 months,Married,0,Mortgage,0,Home Improvement,0,$350.19,"$7,809.67",6,Yes
19210,29,"$92,068.00",588,Employed,Master,"$20,512.00",84 months,Married,2,Rent,0,Debt Consolidation,0,$244.19,"$7,672.33",4,No
28673,29,"$40,474.00",565,Employed,High School,"$12,836.00",60 months,Single,0,Rent,0,Vehicle,0,$213.93,"$3,372.83",3,No
12348,29,"$51,368.00",539,Employed,Bachelor,"$23,166.00",48 months,Divorced,4,Own,0,Personal,0,$482.63,"$4,280.67",5,No
26173,29,"$24,674.00",628,Unemployed,Bachelor,"$43,101.00",72 months,Single,4,Rent,0,Debt Consolidation,0,$598.63,"$2,056.17",2,No
14709,29,"$49,294.00",536,Employed,Diploma,"$20,875.00",24 months,Married,3,Mortgage,0,Debt Consolidation,0,$869.79,,3,No
28255,29,"$83,184.00",557,Employed,Bachelor,"$21,242.00",48 months,Single,4,Rent,0,Home Improvement,0,,"$6,932.00",4,Yes
23921,29,"$16,520.00",579,Self-Employed,Doctorate,"$27,967.00",24 months,Married,1,Own,0,Home Improvement,1,"$1,165.29",,6,No
24563,29,"$89,815.00",583,Employed,Bachelor,"$22,265.00",60 months,Married,2,Mortgage,0,Vehicle,0,$371.08,"$7,484.58",4,Yes
30170,29,"$51,734.00",605,Employed,High School,"$19,679.00",48 months,Married,0,Mortgage,0,Home Improvement,1,$409.98,"$4,311.17",9,No
16550,29,"$38,573.00",477,Employed,Bachelor,"$12,411.00",48 months,Married,1,Rent,0,Debt Consolidation,0,$258.56,"$3,214.42",3,No
29130,29,"$94,982.00",512,Employed,Master,"$22,655.00",60 months,Married,1,Own,0,Debt Consolidation,0,$377.58,"$7,915.17",0,Yes
25274,29,"$87,004.00",597,,Bachelor,"$49,117.00",120 months,Married,0,Mortgage,0,Debt Consolidation,0,$409.31,"$7,250.33",5,No
11259,29,"$25,606.00",456,Employed,High School,"$18,322.00",60 months,Divorced,1,Rent,0,Home Improvement,0,,"$2,133.83",8,No
11964,29,"$77,809.00",563,,Master,"$16,300.00",48 months,Widowed,0,Own,0,Home Improvement,1,$339.58,"$6,484.08",6,No
15034,29,"$19,144.00",556,,High School,"$59,170.00",48 months,Single,0,Rent,0,Vehicle,0,"$1,232.71","$1,595.33",8,No
19719,29,"$45,111.00",569,Employed,Doctorate,"$22,071.00",72 months,Married,1,Own,0,Vehicle,0,$306.54,"$3,759.25",1,No
25915,30,"$38,544.00",536,Employed,High School,"$35,162.00",24 months,Married,2,Mortgage,0,Education,0,,"$3,212.00",5,No
20490,30,"$103,853.00",571,Employed,High School,"$37,137.00",36 months,Married,1,Mortgage,0,Debt Consolidation,0,"$1,031.58","$8,654.42",7,Yes
15813,30,"$24,152.00",557,Employed,High School,"$20,977.00",24 months,Single,1,Own,0,Education,1,$874.04,"$2,012.67",7,No
18949,30,"$167,651.00",615,Self-Employed,Bachelor,"$10,441.00",60 months,Married,2,Rent,0,Debt Consolidation,0,$174.02,"$13,970.92",3,Yes
28653,30,"$33,148.00",502,Employed,Bachelor,"$41,239.00",48 months,Single,3,Mortgage,0,Home Improvement,0,$859.15,,6,No
26891,30,"$23,968.00",614,,Diploma,"$27,621.00",72 months,Married,1,Rent,0,Debt Consolidation,0,$383.63,"$1,997.33",9,No
15341,30,"$22,814.00",501,Self-Employed,Bachelor,"$38,741.00",84 months,Married,0,Mortgage,0,Home Improvement,0,$461.20,"$1,901.17",7,No
24549,30,"$49,287.00",579,Self-Employed,Bachelor,"$10,121.00",60 months,Single,3,Rent,0,Vehicle,0,,,0,No
12513,30,"$68,405.00",587,Employed,Diploma,"$39,100.00",12 months,Married,2,Own,0,Home Improvement,0,"$3,258.33","$5,700.42",7,No
21871,30,"$95,581.00",605,Employed,Diploma,"$11,570.00",36 months,Single,0,Own,0,Debt Consolidation,0,$321.39,"$7,965.08",7,Yes
29957,30,"$125,741.00",624,Employed,Diploma,"$11,795.00",24 months,Married,1,Own,0,Debt Consolidation,0,$491.46,"$10,478.42",6,Yes
19412,30,"$116,036.00",531,,Diploma,"$15,904.00",12 months,Divorced,1,Mortgage,0,Home Improvement,0,"$1,325.33","$9,669.67",4,Yes
12949,30,"$48,634.00",601,,High School,"$15,394.00",120 months,Married,3,Own,0,Education,0,$128.28,"$4,052.83",4,No
12298,30,"$75,237.00",498,,Diploma,"$41,431.00",72 months,Married,0,Mortgage,0,Home Improvement,1,$575.43,"$6,269.75",4,No
13892,30,"$22,132.00",511,Employed,Bachelor,"$16,194.00",24 months,Widowed,2,Rent,0,Education,0,$674.75,"$1,844.33",5,No
28497,30,"$108,347.00",589,Employed,High School,"$15,578.00",60 months,Married,3,Mortgage,0,Debt Consolidation,0,,"$9,028.92",4,Yes
15391,30,"$15,000.00",488,Employed,Master,"$33,184.00",48 months,Divorced,0,Rent,0,Education,0,$691.33,"$1,250.00",3,No
22207,30,"$19,127.00",594,Employed,High School,"$40,645.00",36 months,Married,3,Rent,0,Education,0,"$1,129.03","$1,593.92",5,No
22738,30,"$104,127.00",474,Employed,Master,"$16,003.00",36 months,Divorced,0,Other,0,Education,0,$444.53,"$8,677.25",3,Yes
17905,30,"$73,784.00",552,Employed,Bachelor,"$13,051.00",60 months,Married,3,Own,0,Debt Consolidation,0,$217.52,"$6,148.67",7,Yes
19352,30,"$16,926.00",582,Employed,High School,"$12,048.00",24 months,Married,1,Rent,0,Home Improvement,0,$502.00,"$1,410.50",5,No
14535,30,"$80,466.00",609,Employed,Master,"$12,470.00",36 months,Divorced,1,Rent,0,Debt Consolidation,1,$346.39,"$6,705.50",10,Yes
10672,30,"$50,657.00",591,Employed,High School,"$20,536.00",48 months,Married,2,Mortgage,0,Vehicle,0,$427.83,"$4,221.42",11,No
12479,30,"$43,173.00",521,Employed,High School,"$16,615.00",36 months,Married,3,Own,0,Vehicle,0,,"$3,597.75",8,No
10801,30,"$26,960.00",603,Employed,Bachelor,"$12,517.00",36 months,Married,5,Other,0,Education,0,,,6,No
17361,30,"$57,864.00",500,Employed,Diploma,"$20,814.00",36 months,Single,3,Own,0,Vehicle,1,$578.17,,7,No
16223,30,"$94,821.00",524,Employed,High School,"$11,814.00",72 months,Married,3,Rent,0,Debt Consolidation,0,$164.08,,5,Yes
19564,30,"$39,245.00",577,Employed,Bachelor,"$21,493.00",36 months,Married,0,Other,0,Education,0,$597.03,"$3,270.42",6,No
24928,30,"$33,361.00",473,Employed,Bachelor,"$21,542.00",48 months,Married,0,Mortgage,0,Home Improvement,0,$448.79,"$2,780.08",7,No
18931,30,"$48,758.00",480,Employed,Bachelor,"$37,268.00",60 months,Widowed,0,Rent,0,Debt Consolidation,0,,"$4,063.17",11,No
12003,30,"$121,911.00",632,Unemployed,Bachelor,"$24,513.00",96 months,Married,1,Mortgage,0,Education,0,$255.34,"$10,159.25",8,No
16576,30,"$33,917.00",537,,High School,"$17,046.00",72 months,Married,0,Rent,0,Personal,0,$236.75,"$2,826.42",2,No
14145,30,"$76,671.00",593,Self-Employed,Master,"$16,621.00",48 months,Widowed,2,Own,0,Vehicle,0,,"$6,389.25",3,Yes
25454,30,"$50,464.00",576,Employed,Master,"$34,246.00",72 months,Single,1,Own,0,Home Improvement,0,$475.64,"$4,205.33",5,No
12417,30,"$41,187.00",636,Employed,Bachelor,"$20,231.00",60 months,Married,1,Rent,0,Debt Consolidation,0,$337.18,"$3,432.25",12,No
15762,30,"$38,000.00",601,Self-Employed,Bachelor,"$24,824.00",36 months,Married,3,Mortgage,0,Education,0,$689.56,"$3,166.67",3,No
30095,30,"$84,079.00",521,Employed,Bachelor,"$10,206.00",72 months,Divorced,4,Rent,0,Personal,0,$141.75,"$7,006.58",3,Yes
15187,30,"$44,997.00",560,Employed,High School,"$46,981.00",24 months,Divorced,2,Mortgage,0,Education,0,"$1,957.54","$3,749.75",1,No
28819,30,"$15,000.00",508,Employed,Diploma,"$28,020.00",36 months,Married,1,Rent,0,Home Improvement,0,,"$1,250.00",4,No
13287,30,"$27,878.00",498,Employed,Diploma,"$12,941.00",24 months,Divorced,0,Rent,0,Debt Consolidation,0,,"$2,323.17",6,No
27443,30,"$21,575.00",585,Employed,High School,"$11,219.00",36 months,Divorced,0,Other,0,Debt Consolidation,1,$311.64,,4,No
13461,30,"$19,203.00",542,Employed,Bachelor,"$22,923.00",96 months,Married,4,Rent,0,Personal,0,,"$1,600.25",1,No
29996,30,"$34,113.00",566,,High School,"$32,253.00",36 months,Divorced,1,Rent,0,Debt Consolidation,0,$895.92,,7,No
24872,30,"$42,463.00",549,Employed,Bachelor,"$16,201.00",84 months,Married,1,Mortgage,0,Personal,0,$192.87,"$3,538.58",5,No
19932,30,"$27,943.00",556,Employed,Diploma,"$18,744.00",48 months,Divorced,2,Mortgage,0,Vehicle,0,$390.50,"$2,328.58",3,No
21829,30,"$27,082.00",556,,Doctorate,"$21,974.00",60 months,Widowed,4,Mortgage,0,Vehicle,0,$366.23,"$2,256.83",7,No
23863,30,"$114,394.00",608,Employed,High School,"$11,128.00",36 months,Married,0,Mortgage,0,Vehicle,0,$309.11,"$9,532.83",6,Yes
23589,30,"$55,695.00",484,Employed,Master,"$17,354.00",48 months,Single,4,Own,0,Education,0,$361.54,"$4,641.25",1,No
24404,30,"$43,377.00",634,Employed,Doctorate,"$14,862.00",48 months,Married,2,Rent,0,Vehicle,0,,"$3,614.75",1,Yes
18463,30,"$107,089.00",498,Employed,Doctorate,"$61,493.00",36 months,Married,1,Own,0,Home Improvement,0,"$1,708.14","$8,924.08",6,No
19947,30,"$22,231.00",561,Employed,Bachelor,"$21,230.00",96 months,Married,0,Rent,0,Vehicle,0,,"$1,852.58",6,No
18660,30,"$56,188.00",571,Employed,Diploma,"$32,067.00",48 months,Single,2,Mortgage,0,Debt Consolidation,0,$668.06,"$4,682.33",5,No
30037,30,"$51,505.00",402,,Diploma,"$19,021.00",48 months,Married,0,Rent,0,Home Improvement,0,,"$4,292.08",5,No
11010,30,"$125,689.00",634,Employed,Diploma,"$21,937.00",60 months,Married,3,Rent,0,Debt Consolidation,0,$365.62,,10,No
20508,30,"$57,130.00",601,,Bachelor,"$13,502.00",108 months,Married,4,Rent,0,Vehicle,0,$125.02,"$4,760.83",4,No
20967,30,"$37,041.00",576,Employed,Diploma,"$31,584.00",96 months,Married,0,Own,0,Vehicle,0,$329.00,"$3,086.75",3,No
24120,30,"$53,395.00",544,,High School,"$19,867.00",60 months,Single,0,Own,0,Vehicle,0,$331.12,"$4,449.58",5,No
16129,30,"$71,381.00",535,Employed,Bachelor,"$24,328.00",36 months,Married,0,Rent,0,Home Improvement,0,$675.78,"$5,948.42",4,No
12512,30,"$37,539.00",514,Employed,High School,"$19,101.00",24 months,Married,0,Mortgage,0,Debt Consolidation,1,$795.88,"$3,128.25",3,No
24318,30,"$51,463.00",568,Employed,Diploma,"$22,927.00",24 months,Married,1,Own,0,Home Improvement,0,$955.29,,5,No
19142,30,"$51,813.00",628,Self-Employed,Master,"$14,249.00",72 months,Married,3,Own,0,Home Improvement,1,$197.90,"$4,317.75",6,No
12288,30,"$18,618.00",525,Employed,Diploma,"$20,035.00",48 months,Single,5,Mortgage,0,Vehicle,0,$417.40,"$1,551.50",3,No
23507,30,"$68,675.00",498,Employed,High School,"$34,756.00",48 months,Married,0,Own,0,Home Improvement,0,$724.08,"$5,722.92",2,No
22947,30,"$31,307.00",602,Employed,High School,"$28,665.00",60 months,Married,2,Other,0,Personal,0,$477.75,"$2,608.92",2,No
21181,30,"$31,818.00",529,,Bachelor,"$19,142.00",12 months,Divorced,0,Rent,0,Debt Consolidation,0,"$1,595.17","$2,651.50",2,No
21137,30,"$39,554.00",528,Employed,Master,"$18,826.00",84 months,Married,1,Mortgage,0,Home Improvement,1,$224.12,"$3,296.17",8,No
25410,30,"$54,707.00",624,,Bachelor,"$17,191.00",48 months,Married,4,Rent,0,Education,0,$358.15,,4,Yes
21820,30,"$63,079.00",468,,High School,"$101,914.00",36 months,Married,3,Other,0,Home Improvement,0,"$2,830.94","$5,256.58",5,No
18008,30,"$66,554.00",543,Employed,High School,"$25,306.00",84 months,Single,0,Mortgage,0,Vehicle,0,$301.26,"$5,546.17",7,No
10985,30,"$63,120.00",485,,Diploma,"$13,756.00",36 months,Married,1,Own,0,Home Improvement,0,$382.11,"$5,260.00",4,No
26181,30,"$104,708.00",634,Unemployed,Master,"$30,546.00",108 months,Married,1,Mortgage,0,Vehicle,0,,,5,No
16869,30,"$16,857.00",570,Employed,Master,"$21,169.00",48 months,Married,3,Other,0,Vehicle,1,$441.02,,8,No
10841,30,"$23,058.00",618,Employed,Diploma,"$63,485.00",60 months,Divorced,1,Other,0,Debt Consolidation,0,"$1,058.08","$1,921.50",6,No
18704,30,"$43,514.00",598,Employed,Bachelor,"$26,526.00",48 months,Married,3,Rent,0,Home Improvement,0,$552.63,"$3,626.17",4,No
14038,30,"$32,017.00",595,,Bachelor,"$25,806.00",36 months,Married,1,Rent,0,Education,0,,"$2,668.08",10,No
27963,30,"$263,555.00",590,Employed,Diploma,"$26,964.00",24 months,Married,2,Mortgage,0,Debt Consolidation,1,,"$21,962.92",4,Yes
10604,30,"$94,238.00",608,Employed,Bachelor,"$15,917.00",36 months,Married,3,Own,0,Home Improvement,0,$442.14,"$7,853.17",3,Yes
20831,30,"$84,387.00",530,Employed,Bachelor,"$6,355.00",60 months,Single,0,Own,0,Home Improvement,0,$105.92,"$7,032.25",9,Yes
19797,30,"$117,723.00",589,Employed,Diploma,"$36,803.00",24 months,Divorced,2,Rent,0,Home Improvement,0,"$1,533.46","$5,470.83",7,Yes
21343,30,"$45,155.00",539,Self-Employed,Master,"$28,870.00",36 months,Married,0,Mortgage,0,Home Improvement,0,,"$3,762.92",2,No
23419,30,"$106,478.00",607,Employed,Bachelor,"$25,541.00",96 months,Married,5,Own,0,Debt Consolidation,0,$266.05,"$8,873.17",3,Yes
26273,30,"$24,000.00",572,,Bachelor,"$36,826.00",48 months,Married,2,Rent,0,Home Improvement,0,$767.21,"$2,000.00",8,No
18303,30,"$17,425.00",522,Employed,Bachelor,"$6,413.00",36 months,Single,2,Mortgage,0,Home Improvement,0,$178.14,"$1,452.08",4,Yes
